contourAvgLength,contourCountLSD,contourLengthLSD,contourAvgLengthLSD
44.95,255,1196187,4690.929412
46.12676056,171,584065,3415.584795
51.29487179,208,795699,3825.475962
50.69047619,209,807656,3864.382775
51.05952381,198,758976,3833.212121
50.20779221,191,673007,3523.596859
47.97468354,208,851068,4091.673077
46.80882353,207,774354,3740.84058
65.40983607,121,303201,2505.793388
93.65,157,484667,3087.050955
86.45679012,168,613031,3648.994048
87.3974359,154,465153,3020.474026
113.8356164,107,246876,2307.252336
116.7534247,105,196866,1874.914286
121.5538462,107,218996,2046.691589
96.42465753,138,368450,2669.927536
111.8030303,164,632725,3858.079268
80.88059701,127,356552,2807.496063
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
30.05555556,93,145754,1567.247312
46.08196721,196,800525,4084.311224
46.51851852,232,1095691,4722.806034
53.35384615,223,1083208,4857.434978
43.87671233,237,1297947,5476.56962
53.46875,243,1364616,5615.703704
43.06818182,240,1325469,5522.7875
53.92405063,231,1378720,5968.484848
52.55696203,255,1690262,6628.478431
53.78571429,245,1493388,6095.461224
60.09375,241,1311155,5440.477178
44.47311828,87,171742,1974.045977
43.25675676,63,88773,1409.095238
42.04651163,72,104209,1447.347222
43.57281553,83,171504,2066.313253
46.1011236,78,154044,1974.923077
45.84126984,72,125828,1747.611111
44.01408451,75,137230,1829.733333
42.53623188,61,82459,1351.786885
44.65714286,77,136166,1768.38961
50.56164384,48,64003,1333.395833
46.05714286,25,19310,772.4
51.23076923,24,15687,653.625
54.07272727,22,14368,653.0909091
46.96428571,43,44259,1029.27907
36.06060606,33,25673,777.969697
36.88157895,21,13279,632.3333333
38.78461538,15,7263,484.2
39.88311688,17,10213,600.7647059
34.32,16,9200,575
36.90277778,22,13853,629.6818182
78.4964539,126,430234,3414.555556
79.90697674,130,400551,3081.161538
81.82191781,146,551299,3776.020548
79.40972222,129,463243,3591.031008
80.34848485,135,547018,4051.985185
80.35971223,146,548579,3757.390411
92.06837607,141,449930,3190.992908
84.32835821,123,388442,3158.065041
88.475,138,507317,3676.210145
97.88495575,140,543486,3882.042857
55.66292135,186,851534,4578.139785
68.30263158,199,801186,4026.060302
59.70588235,139,443414,3190.028777
60.7875,156,537035,3442.532051
55.19767442,150,530907,3539.38
52.76315789,103,227594,2209.650485
66.59803922,106,252903,2385.877358
66.26804124,100,207722,2077.22
64.29473684,118,357887,3032.940678
64.89247312,139,505672,3637.928058
95.60294118,74,128564,1737.351351
102.5445026,105,207577,1976.92381
105.0325581,109,280956,2577.577982
105.1836735,99,238643,2410.535354
106.4734043,73,94174,1290.054795
110.1941176,68,82305,1210.367647
102.761658,90,143237,1591.522222
97.625,74,127579,1724.040541
95.65400844,94,226607,2410.712766
97.64761905,99,211900,2140.40404
63.85454545,165,677833,4108.078788
76.45,134,457724,3415.850746
70.12931034,149,525289,3525.42953
74.25663717,145,598641,4128.558621
78.21212121,147,497945,3387.380952
72.7480315,144,563549,3913.534722
72.4137931,111,359927,3242.585586
68.0462963,128,407863,3186.429688
68.8034188,143,482449,3373.769231
76.49056604,106,307378,2899.792453
47.0942029,278,1582588,5692.76259
49.41935484,220,1286710,5848.681818
51.55952381,221,1224855,5542.330317
49.02912621,233,1365609,5860.982833
51.8974359,221,1202665,5441.923077
55.30088496,238,1445392,6073.07563
57.58585859,232,1276201,5500.866379
51.33613445,217,1154221,5318.990783
49.27102804,219,1250764,5711.251142
51.91011236,232,1283548,5532.534483
47.18367347,199,696926,3502.140704
53.03773585,263,1500212,5704.228137
51.14035088,270,1531497,5672.211111
48.91803279,274,1687314,6158.080292
51.80327869,304,1931045,6352.121711
51.96721311,304,1857496,6110.184211
45.94642857,300,1974311,6581.036667
46.91525424,286,1742728,6093.454545
53.47692308,285,1735287,6088.726316
47.65277778,299,1838299,6148.157191
124.1878453,40,55162,1379.05
126.8631579,40,56289,1407.225
126.645,41,65124,1588.390244
133.7120419,38,58064,1528
123.1813953,23,27164,1181.043478
117.5183486,31,34860,1124.516129
108.4864865,21,20459,974.2380952
106.2827004,20,15541,777.05
122.0235849,29,33976,1171.586207
130.6059113,40,55811,1395.275
48.80232558,300,1909247,6364.156667
48.20224719,251,1423196,5670.103586
46.49411765,263,1696499,6450.56654
57.6626506,263,1727547,6568.619772
50.74117647,292,2138880,7324.931507
54.44318182,306,2116454,6916.51634
57.04878049,301,2220371,7376.647841
50.76744186,257,1475939,5742.953307
51.82978723,285,1947889,6834.698246
57.2,296,2027535,6849.780405
47.78846154,253,1311402,5183.407115
54.05454545,236,1140736,4833.627119
54.91525424,232,1147643,4946.737069
52.85483871,239,1260725,5275
54.17741935,273,1656998,6069.589744
50.17910448,249,1367129,5490.477912
50.6440678,264,1500603,5684.102273
54.89473684,246,1316598,5352.02439
51.28070175,228,1141176,5005.157895
50.78666667,225,1034757,4598.92
57.37837838,78,133463,1711.064103
54.89655172,134,402358,3002.671642
63.24675325,129,346344,2684.837209
65.88,67,78333,1169.149254
61.825,62,71861,1159.048387
55.19565217,93,158171,1700.763441
57.51724138,88,132919,1510.443182
52.20454545,77,101673,1320.428571
58.25806452,71,100085,1409.647887
54.82142857,51,51455,1008.921569
75.0390625,243,1468704,6044.049383
72.97058824,254,1576963,6208.515748
71.20437956,258,1596677,6188.670543
66.86206897,257,1579501,6145.918288
65.12765957,255,1584207,6212.576471
70.9140625,266,1718075,6458.928571
67.0952381,235,1390596,5917.429787
73.36619718,244,1488196,6099.163934
86.48,260,1613353,6205.203846
78.25925926,249,1515254,6085.35743
70.08965517,238,1414121,5941.684874
76.02189781,253,1503292,5941.865613
70.30612245,267,1636275,6128.370787
60.62275449,258,1548649,6002.515504
63.72903226,240,1381014,5754.225
65.30555556,251,1562973,6226.984064
72.91851852,240,1404198,5850.825
69.47260274,251,1571708,6261.784861
81.32539683,252,1531920,6079.047619
74.92805755,253,1563188,6178.608696
73.44444444,236,1391472,5896.067797
